pos,L1,UB
1923,3460,0
1924,3460,0
1925,3076,0
1926,1540,0
1927,1540,0
1928,1924,0
1929,3460,0
1930,3844,0
1931,5380,0
1932,5764,0
1933,7300,0
1934,7684,0
1935,9220,0
1936,9364,0
1937,9364,0
1938,9508,0
1939,9508,0
1940,9652,0
1941,9652,0
1942,9796,0
1943,9796,0
1944,9940,0
1945,9940,0
1946,10084,0
1947,10084,0
1948,10228,0
1949,10228,0
1950,10372,0
1951,10372,0
1952,10516,0
1953,10516,0
1954,10660,0
1955,10660,0
1956,10804,0
1957,10804,0
1958,10948,0
1959,10948,0
1960,11092,0
1961,11092,0
1962,11236,0
1963,11236,0
1964,11380,0
1965,11380,0
1966,11524,0
1967,11524,0
1968,11524,0
1969,11524,0
1970,11380,0
1971,11380,0
1972,11380,0
1973,11380,0
1974,11380,0
1975,11236,0
1976,11236,0
1977,11236,0
1978,11236,0
1979,11236,0
1980,11092,0
1981,11092,0
1982,11092,0
1983,11092,0
1984,11092,0
1985,10948,0
1986,10948,0
1987,10947,0
1988,9411,0
1989,9411,0
1990,9411,0
1991,9411,0
1992,9267,0
1993,9267,0
1994,9267,0
1995,9267,0
1996,9267,0
1997,9123,0
1998,9123,0
1999,9123,0
2000,9123,0
2001,9123,0
2002,8979,0
2003,8979,0
2004,8979,0
2005,8979,0
2006,8979,0
2007,8835,0
2008,8835,0
2009,8834,0
2010,7298,0
2011,7298,0
2012,7298,0
2013,7298,0
2014,7154,0
2015,7154,0
2016,7154,0
2017,7154,0
2018,7154,0
2019,7010,0
2020,7010,0
2021,7010,0
2022,7010,0
2023,7010,0
2024,6866,0
2025,6866,0
2026,6866,0
2027,6866,0
2028,6866,0
2029,6722,0
2030,6722,0
2031,6721,0
2032,5185,0
2033,5185,0
2034,5185,0
2035,5185,0
2036,5041,0
2037,5041,0
2038,4657,0
2039,4657,0
2040,4657,0
2041,4657,0
2042,4513,0
2043,4513,0
2044,4129,0
2045,4129,0
2046,4129,0
2047,4129,0
2048,3985,0
2049,3985,0
2050,3601,0
2051,3601,0
2052,3601,0
2053,3601,0
2054,3457,0
2055,3457,0
2056,3456,0
2057,3072,0
2058,1536,0
2059,1536,0
2060,2304,0
2061,3840,0
2062,4608,0
2063,6144,0
2064,6912,0
2065,8448,0
2066,9216,0
2067,10752,0
2068,10896,0
2069,10896,0
2070,11040,0
2071,11040,0
2072,11184,0
2073,11184,0
2074,11328,0
2075,11328,0
2076,11472,0
2077,11472,0
2078,11616,0
2079,11616,0
2080,11760,0
2081,11760,0
2082,11904,0
2083,11904,0
2084,12048,0
2085,12048,0
2086,12192,0
2087,12192,0
2088,12336,0
2089,12336,0
2090,12480,0
2091,12480,0
2092,12624,0
2093,12624,0
2094,12768,0
2095,12768,0
2096,12912,0
2097,12912,0
2098,13056,0
2099,13056,0
2100,13056,0
2101,13056,0
2102,12912,0
2103,12912,0
2104,12912,0
2105,12912,0
2106,12912,0
2107,12768,0
2108,12768,0
2109,12768,0
2110,12768,0
2111,12768,0
2112,12624,0
2113,12624,0
2114,12624,0
2115,12624,0
2116,12624,0
2117,12480,0
2118,12480,0
2119,10944,0
2120,10944,0
2121,10944,0
2122,10944,0
2123,10800,0
2124,10800,0
2125,10800,0
2126,10800,0
2127,10800,0
2128,10656,0
2129,10656,0
2130,10656,0
2131,10656,0
2132,10656,0
2133,10512,0
2134,10512,0
2135,10512,0
2136,10512,0
2137,10512,0
2138,10368,0
2139,10368,0
2140,8832,0
2141,8832,0
2142,8832,0
2143,8832,0
2144,8688,0
2145,8688,0
2146,8688,0
2147,8688,0
2148,8688,0
2149,8544,0
2150,8544,0
2151,8544,0
2152,8544,0
2153,8544,0
2154,8400,0
2155,8400,0
2156,8400,0
2157,8400,0
2158,8400,0
2159,8256,0
2160,8256,0
2161,6720,0
2162,6720,0
2163,6720,0
2164,6720,0
2165,6576,0
2166,6576,0
2167,6192,0
2168,6192,0
2169,6192,0
2170,6192,0
2171,6048,0
2172,6048,0
2173,5664,0
2174,5664,0
2175,5664,0
2176,5664,0
2177,5520,0
2178,5520,0
2179,5136,0
2180,5136,0
2181,5136,0
2182,5136,0
2183,4992,0
2184,4992,0
2185,4608,0
2186,3072,0
2187,3072,0
2188,3840,0
2189,5376,0
2190,6144,0
2191,7680,0
2192,8448,0
2193,9984,0
2194,10752,0
2195,12288,0
2196,12432,0
2197,12432,0
2198,12576,0
2199,12576,0
2200,12720,0
2201,12720,0
2202,12864,0
2203,12864,0
2204,13008,0
2205,13008,0
2206,13152,0
2207,13152,0
2208,13296,0
2209,13296,0
2210,13440,0
2211,13440,0
2212,13584,0
2213,13584,0
2214,13728,0
2215,13728,0
2216,13872,0
2217,13872,0
2218,14016,0
2219,14016,0
2220,14160,0
2221,14160,0
2222,14304,0
2223,14304,0
2224,14448,0
2225,14448,0
2226,14592,0
2227,14592,0
2228,14592,0
2229,14592,0
2230,14448,0
2231,14448,0
2232,14448,0
2233,14448,0
2234,14448,0
2235,14304,0
2236,14304,0
2237,14304,0
2238,14304,0
2239,14304,0
2240,14160,0
2241,14160,0
2242,14160,0
2243,14160,0
2244,14160,0
2245,14016,0
2246,14016,0
2247,12480,0
2248,12480,0
2249,12480,0
2250,12480,0
2251,12336,0
2252,12336,0
2253,12336,0
2254,12336,0
2255,12336,0
2256,12192,0
2257,12192,0
2258,12192,0
2259,12192,0
2260,12192,0
2261,12048,0
2262,12048,0
2263,12048,0
2264,12048,0
2265,12048,0
2266,11904,0
2267,11904,0
2268,10368,0
2269,10368,0
2270,10368,0
2271,10368,0
2272,10224,0
2273,10224,0
2274,10224,0
2275,10224,0
2276,10224,0
2277,10080,0
2278,10080,0
2279,10080,0
2280,10080,0
2281,10080,0
2282,9936,0
2283,9936,0
2284,9936,0
2285,9936,0
2286,9936,0
2287,9792,0
2288,9792,0
2289,8256,0
2290,8256,0
2291,8256,0
2292,8256,0
2293,8112,0
2294,8112,0
2295,7344,0
2296,7344,0
2297,7344,0
2298,7344,0
2299,7200,0
2300,7200,0
2301,6432,0
2302,6432,0
2303,6432,0
2304,6432,0
2305,6288,0
2306,6288,0
2307,5520,0
2308,5520,0
2309,5520,0
2310,5520,0
2311,5376,0
2312,5376,0
2313,4608,0
2314,3072,0
2315,3072,0
2316,3840,0
2317,5376,0
2318,6144,0
2319,7680,0
2320,8448,0
2321,9984,0
2322,10752,0
2323,12288,0
2324,12432,0
2325,12432,0
2326,12576,0
2327,12576,0
2328,12720,0
2329,12720,0
2330,12864,0
2331,12864,0
2332,13008,0
2333,13008,0
2334,13152,0
2335,13152,0
2336,13296,0
2337,13296,0
2338,13440,0
2339,13440,0
2340,13584,0
2341,13584,0
2342,13728,0
2343,13728,0
2344,13872,0
2345,13872,0
2346,14016,0
2347,14016,0
2348,14160,0
2349,14160,0
2350,14304,0
2351,14304,0
2352,14448,0
2353,14448,0
2354,14592,0
2355,14592,0
2356,14592,0
2357,14592,0
2358,14448,0
2359,14448,0
2360,14448,0
2361,14448,0
2362,14448,0
2363,14304,0
2364,14304,0
2365,14304,0
2366,14304,0
2367,14304,0
2368,14160,0
2369,14160,0
2370,14160,0
2371,14160,0
2372,14160,0
2373,14016,0
2374,14016,0
2375,12480,0
2376,12480,0
2377,12480,0
2378,12480,0
2379,12336,0
2380,12336,0
2381,12336,0
2382,12336,0
2383,12336,0
2384,12192,0
2385,12192,0
2386,12192,0
2387,12192,0
2388,12192,0
2389,12048,0
2390,12048,0
2391,12048,0
2392,12048,0
2393,12048,0
2394,11904,0
2395,11904,0
2396,10368,0
2397,10368,0
2398,10368,0
2399,10368,0
2400,10224,0
2401,10224,0
2402,10224,0
2403,10224,0
2404,10224,0
2405,10080,0
2406,10080,0
2407,10080,0
2408,10080,0
2409,10080,0
2410,9936,0
2411,9936,0
2412,9936,0
2413,9936,0
2414,9936,0
2415,9792,0
2416,9792,0
2417,8256,0
2418,8256,0
2419,8256,0
2420,8256,0
2421,8112,0
2422,8112,0
2423,7344,0
2424,7344,0
2425,7344,0
2426,7344,0
2427,7200,0
2428,7200,0
2429,6432,0
2430,6432,0
2431,6432,0
2432,6432,0
2433,6288,0
2434,6288,0
2435,5520,0
2436,5520,0
2437,5520,0
2438,5520,0
2439,5376,0
2440,5376,0
2441,4608,0
2442,3072,0
2443,3072,0
2444,3840,0
2445,5376,0
2446,6144,0
2447,7680,0
2448,8448,0
2449,9984,0
2450,10752,0
2451,12288,0
2452,12432,0
2453,12432,0
2454,12576,0
2455,12576,0
2456,12720,0
2457,12720,0
2458,12864,0
2459,12864,0
2460,13008,0
2461,13008,0
2462,13152,0
2463,13152,0
2464,13296,0
2465,13296,0
2466,13440,0
2467,13440,0
2468,13584,0
2469,13584,0
2470,13728,0
2471,13728,0
2472,13872,0
2473,13872,0
2474,14016,0
2475,14016,0
2476,14160,0
2477,14160,0
2478,14304,0
2479,14304,0
2480,14448,0
2481,14448,0
2482,14592,0
2483,14592,0
2484,14592,0
2485,14592,0
2486,14448,0
2487,14448,0
2488,14448,0
2489,14448,0
2490,14448,0
2491,14304,0
2492,14304,0
2493,14304,0
2494,14304,0
2495,14304,0
2496,14160,0
2497,14160,0
2498,14160,0
2499,14160,0
2500,14160,0
2501,14016,0
2502,14016,0
2503,12480,0
2504,12480,0
2505,12480,0
2506,11712,0
2507,11712,0
2508,11712,0
2509,11568,0
2510,11568,0
2511,11568,0
2512,11568,0
2513,11568,0
2514,11424,0
2515,11424,0
2516,11424,0
2517,11424,0
2518,11424,0
2519,11280,0
2520,11280,0
2521,11280,0
2522,11280,0
2523,11280,0
2524,11136,0
2525,11136,0
2526,9600,0
2527,9600,0
2528,9600,0
2529,8832,0
2530,8832,0
2531,8832,0
2532,8688,0
2533,8688,0
2534,8688,0
2535,8688,0
2536,8688,0
2537,8544,0
2538,8544,0
2539,8544,0
2540,8544,0
2541,8544,0
2542,8400,0
2543,8400,0
2544,8400,0
2545,8400,0
2546,8400,0
2547,8256,0
2548,8256,0
2549,6720,0
2550,6720,0
2551,6720,0
2552,5952,0
2553,5952,0
2554,5952,0
2555,5808,0
2556,5808,0
2557,5040,0
2558,5040,0
2559,5040,0
2560,5040,0
2561,4896,0
2562,4896,0
2563,4128,0
2564,4128,0
2565,4128,0
2566,4128,0
2567,3984,0
2568,3984,0
2569,3216,0
2570,3216,0
2571,3216,0
2572,3216,0
2573,3072,0
2574,3072,0
2575,2304,0
2576,768,0
2577,768,0
2578,768,0
2579,0,0
